poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"694",./images/694/PXL_20210620_072422916.jpg,2021/06/20 16:24:22,Kohei Otsuka,龍福寺享保宝篋印塔,,"378",./mid_thumbs/694/PXL_20210620_072422916.jpg,./small_thumbs/694/PXL_20210620_072422916.jpg
"694",./images/694/PXL_20210620_072433835.jpg,2021/06/20 16:24:33,Kohei Otsuka,龍福寺享保宝篋印塔,,"379",./mid_thumbs/694/PXL_20210620_072433835.jpg,./small_thumbs/694/PXL_20210620_072433835.jpg
"695",./images/695/PXL_20210620_065709112.jpg,2021/06/20 15:57:09,Shooter not reported - must update,龍福寺明和宝篋印塔,,"380",./mid_thumbs/695/PXL_20210620_065709112.jpg,./small_thumbs/695/PXL_20210620_065709112.jpg
"695",./images/695/PXL_20210620_065718748.jpg,2021/06/20 15:57:18,Shooter not reported - must update,龍福寺明和宝篋印塔,,"381",./mid_thumbs/695/PXL_20210620_065718748.jpg,./small_thumbs/695/PXL_20210620_065718748.jpg
"695",./images/695/PXL_20210620_065726149.jpg,2021/06/20 15:57:26,Shooter not reported - must update,龍福寺明和宝篋印塔,,"382",./mid_thumbs/695/PXL_20210620_065726149.jpg,./small_thumbs/695/PXL_20210620_065726149.jpg
"695",./images/695/PXL_20210620_065740700.jpg,2021/06/20 15:57:40,Shooter not reported - must update,龍福寺明和宝篋印塔,,"383",./mid_thumbs/695/PXL_20210620_065740700.jpg,./small_thumbs/695/PXL_20210620_065740700.jpg
"693",./images/693/PXL_20210620_072637828.jpg,2021/06/20 16:26:37,Shooter not reported - must update,龍福寺元禄宝篋印塔,,"384",./mid_thumbs/693/PXL_20210620_072637828.jpg,./small_thumbs/693/PXL_20210620_072637828.jpg
"693",./images/693/PXL_20210620_072631384.jpg,2021/06/20 16:26:31,Shooter not reported - must update,龍福寺元禄宝篋印塔,,"385",./mid_thumbs/693/PXL_20210620_072631384.jpg,./small_thumbs/693/PXL_20210620_072631384.jpg
"690",./images/690/PXL_20210620_072731161.jpg,2021/06/20 16:27:31,Shooter not reported - must update,龍福寺延宝元宝篋印塔,,"386",./mid_thumbs/690/PXL_20210620_072731161.jpg,./small_thumbs/690/PXL_20210620_072731161.jpg
"690",./images/690/PXL_20210620_072722068.jpg,2021/06/20 16:27:22,Shooter not reported - must update,龍福寺延宝元宝篋印塔,,"387",./mid_thumbs/690/PXL_20210620_072722068.jpg,./small_thumbs/690/PXL_20210620_072722068.jpg
"697",./images/697/PXL_20210620_053923496.jpg,2021/06/20 14:39:23,Shooter not reported - must update,雷光寺明和宝篋印塔,,"388",./mid_thumbs/697/PXL_20210620_053923496.jpg,./small_thumbs/697/PXL_20210620_053923496.jpg
"697",./images/697/PXL_20210620_053941788.jpg,2021/06/20 14:39:41,Shooter not reported - must update,雷光寺明和宝篋印塔,,"389",./mid_thumbs/697/PXL_20210620_053941788.jpg,./small_thumbs/697/PXL_20210620_053941788.jpg
"697",./images/697/PXL_20210620_053947582.jpg,2021/06/20 14:39:47,Shooter not reported - must update,雷光寺明和宝篋印塔,,"390",./mid_thumbs/697/PXL_20210620_053947582.jpg,./small_thumbs/697/PXL_20210620_053947582.jpg
"697",./images/697/PXL_20210620_053953114.jpg,2021/06/20 14:39:53,Shooter not reported - must update,雷光寺明和宝篋印塔,,"391",./mid_thumbs/697/PXL_20210620_053953114.jpg,./small_thumbs/697/PXL_20210620_053953114.jpg
"705",./images/705/IMG_2583.jpg,2021/08/09 16:05:46,Kohei Ostuka,下三林どうろくじん,,"392",./mid_thumbs/705/IMG_2583.jpg,./small_thumbs/705/IMG_2583.jpg
"705",./images/705/IMG_2586.jpg,2021/08/09 16:06:35,Kohei Otsuka,下三林どうろくじん,,"393",./mid_thumbs/705/IMG_2586.jpg,./small_thumbs/705/IMG_2586.jpg
"705",./images/705/IMG_2588.jpg,2021/08/09 16:07:05,Kohei Otsuka,下三林どうろくじん,,"394",./mid_thumbs/705/IMG_2588.jpg,./small_thumbs/705/IMG_2588.jpg
"705",./images/705/IMG_2587.jpg,2021/08/09 16:06:52,Kohei Otsuka,下三林どうろくじん,,"395",./mid_thumbs/705/IMG_2587.jpg,./small_thumbs/705/IMG_2587.jpg
"581",./images/581/IMG_2606.jpg,2021/08/09 16:27:44,Kohei Otsuka,舟戸安政馬頭尊,,"396",./mid_thumbs/581/IMG_2606.jpg,./small_thumbs/581/IMG_2606.jpg
"581",./images/581/IMG_2609.jpg,2021/08/09 16:28:25,Kohei Otsuka,舟戸安政馬頭尊,,"397",./mid_thumbs/581/IMG_2609.jpg,./small_thumbs/581/IMG_2609.jpg
